profile,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std
gpu,"AQ(5,4)",Clustered-PMC,3,0.7473,0.02019628678742702,1.0,0.0,0.15993333333333334,0.06709205119336667,0.24450000000000002,0.06663309988286603,0.2527,0.020196286787427034
gpu,"AQ(5,4)",UP-GDN,3,0.9908333333333333,0.01587713240271469,1.0,0.0,0.9695,0.05282754963085077,0.9820666666666666,0.03106144448240184,0.030766666666666668,0.007769384359994897
gpu,"AQ(6,3)",Clustered-PMC,3,0.8098333333333333,0.05267412394462135,1.0,0.0,0.3682,0.17508900593698054,0.46146666666666664,0.15793939766041065,0.19016666666666668,0.052674123944621364
gpu,"AQ(6,3)",UP-GDN,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0299,0.0031096623610932417
gpu,"AQ(8,2)",Clustered-PMC,3,0.8395666666666667,0.019105060411664054,0.9333333333333333,0.11547005383792512,0.45966666666666667,0.06430881225254696,0.5807666666666667,0.09040936529659598,0.16036666666666666,0.019094065395649337
gpu,"AQ(8,2)",UP-GDN,3,0.9948,0.004779121258139391,0.9965,0.006062177826491044,0.9859333333333333,0.012182090679901107,0.9911,0.008118497397917932,0.032266666666666666,0.005558177159225257
gpu,"K(5,4)",Clustered-PMC,3,0.8253666666666667,0.03852068708283038,1.0,0.0,0.41946666666666665,0.12808533613701972,0.5584666666666667,0.12714489110197602,0.17463333333333333,0.038520687082830345
gpu,"K(5,4)",UP-GDN,3,0.9940333333333333,0.009814954576223646,1.0,0.0,0.9801333333333333,0.03250482015537594,0.9896333333333334,0.017089567968012965,0.03423333333333333,0.009451102228488134
gpu,"K(6,3)",Clustered-PMC,3,0.8558666666666667,0.011163482132978634,1.0,0.0,0.5210333333333333,0.03694338010162758,0.6663333333333333,0.04336592364211024,0.14413333333333334,0.011163482132978634
gpu,"K(6,3)",UP-GDN,3,0.9997,0.0005196152422706701,0.999,0.001732050807568879,1.0,0.0,0.9995,0.0008660254037844074,0.024033333333333334,0.007503554713156512
gpu,"K(8,2)",Clustered-PMC,3,0.9031333333333333,0.03600240732691819,0.9748333333333333,0.005589573627150228,0.6947333333333333,0.12144308680749738,0.7834333333333333,0.0969255556256106,0.0969,0.03605010402204132
gpu,"K(8,2)",UP-GDN,3,0.9833333333333333,0.009064399226277152,0.9868333333333333,0.011427306477614625,0.9579,0.03795536852673149,0.9705666666666667,0.016829834619904425,0.03286666666666667,0.0019604421270043486
gpu,Q10,Clustered-PMC,3,0.7817,0.03492320145691117,1.0,0.0,0.2719,0.11646956684044119,0.37396666666666667,0.1165436541958992,0.2183,0.034923201456911135
gpu,Q10,UP-GDN,3,0.992,0.013683566786477891,1.0,0.0,0.9732666666666666,0.04569861412924175,0.9845333333333334,0.026529668926191574,0.0298,0.008289149534180211
gpu,Q6,Clustered-PMC,3,0.8531,0.04727166170127723,1.0,0.0,0.5052333333333333,0.15931014824339765,0.6402666666666667,0.14425721241356815,0.1469,0.04727166170127723
gpu,Q6,UP-GDN,3,0.9937333333333334,0.010854185060764987,1.0,0.0,0.9789333333333333,0.036488537012784365,0.9875,0.021650635094610952,0.02383333333333333,0.006240459384799595
gpu,Q8,Clustered-PMC,3,0.8114333333333333,0.06646294707078021,1.0,0.0,0.37316666666666665,0.22086068761401006,0.49106666666666665,0.23783171221124683,0.18856666666666666,0.06646294707078022
gpu,Q8,UP-GDN,3,0.9950666666666667,0.008544783984006482,1.0,0.0,0.9835333333333334,0.02852110329796751,0.9906333333333334,0.01622354256422849,0.025966666666666666,0.0031214312956291917
