profile,family,topology,backbone,run,seed,accuracy,precision,recall,f1,brier,ece,topk,best_f1,best_f1_epoch,epoch_to_f1_095,epoch_to_f1_099,mean_f1_over_epochs,final_train_loss,loss_reduction
gpu,hypercube,Q6,gcn,1,10300,0.9997,0.9995,0.9995,0.9995,0.0003,0.0010,1.0000,0.9995,45,10,15,0.9577,0.0076,0.6590
gpu,hypercube,Q6,graphsage,1,10300,0.9995,0.9990,0.9995,0.9992,0.0004,0.0004,1.0000,0.9995,15,5,5,0.9884,0.0018,0.6889
gpu,hypercube,Q6,gat,1,10300,0.9998,0.9995,1.0000,0.9997,0.0001,0.0006,1.0000,0.9997,25,5,10,0.9708,0.0073,0.6388
gpu,hypercube,Q6,gcn,2,11303,0.9998,0.9995,1.0000,0.9997,0.0002,0.0009,1.0000,0.9997,20,5,15,0.9589,0.0077,0.6412
gpu,hypercube,Q6,graphsage,2,11303,0.9998,0.9995,1.0000,0.9997,0.0002,0.0003,1.0000,0.9997,10,5,5,0.9224,0.0023,0.7123
gpu,hypercube,Q6,gat,2,11303,0.9997,0.9990,1.0000,0.9995,0.0002,0.0010,1.0000,0.9995,55,10,10,0.9376,0.0108,0.6749
gpu,hypercube,Q6,gcn,3,12306,0.9998,1.0000,0.9995,0.9997,0.0001,0.0008,1.0000,1.0000,20,10,15,0.9600,0.0062,0.6626
gpu,hypercube,Q6,graphsage,3,12306,0.9997,1.0000,0.9989,0.9995,0.0002,0.0003,1.0000,1.0000,15,1,1,0.9993,0.0012,0.6572
gpu,hypercube,Q6,gat,3,12306,0.9998,0.9995,1.0000,0.9997,0.0002,0.0008,1.0000,0.9997,45,10,10,0.9049,0.0056,0.7064
gpu,kary,Q8^2,gcn,1,10309,0.9961,0.9906,0.9968,0.9935,0.0030,0.0055,0.9974,0.9936,50,15,20,0.9394,0.0184,0.6257
gpu,kary,Q8^2,graphsage,1,10309,0.9983,0.9980,0.9963,0.9971,0.0014,0.0027,0.9989,0.9973,50,5,10,0.9178,0.0052,0.6955
gpu,kary,Q8^2,gat,1,10309,0.9978,0.9960,0.9968,0.9963,0.0016,0.0038,0.9989,0.9963,60,10,20,0.9631,0.0125,0.6640
gpu,kary,Q8^2,gcn,2,11312,0.9975,0.9946,0.9974,0.9959,0.0020,0.0040,0.9989,0.9959,60,10,15,0.9845,0.0151,0.6339
gpu,kary,Q8^2,graphsage,2,11312,0.9978,0.9951,0.9979,0.9964,0.0018,0.0026,0.9995,0.9966,55,5,10,0.9333,0.0052,0.6894
gpu,kary,Q8^2,gat,2,11312,0.9980,0.9965,0.9968,0.9966,0.0018,0.0038,0.9984,0.9966,50,10,15,0.9771,0.0143,0.6556
gpu,kary,Q8^2,gcn,3,12315,0.9969,0.9955,0.9942,0.9947,0.0023,0.0056,0.9974,0.9950,55,15,20,0.9070,0.0244,0.6894
gpu,kary,Q8^2,graphsage,3,12315,0.9984,1.0000,0.9947,0.9973,0.0012,0.0025,1.0000,0.9978,55,5,10,0.9189,0.0104,0.6831
gpu,kary,Q8^2,gat,3,12315,0.9973,0.9950,0.9963,0.9956,0.0023,0.0054,0.9974,0.9961,50,15,15,0.9046,0.0180,0.6915
gpu,augmented_kary,"AQ(2,8)",gcn,1,10318,0.9991,0.9975,0.9995,0.9984,0.0008,0.0018,0.9989,0.9987,25,5,10,0.9595,0.0100,0.6608
gpu,augmented_kary,"AQ(2,8)",graphsage,1,10318,0.9992,0.9980,0.9995,0.9987,0.0005,0.0008,0.9995,0.9990,25,1,5,0.9978,0.0046,0.6650
gpu,augmented_kary,"AQ(2,8)",gat,1,10318,0.9991,0.9975,0.9995,0.9984,0.0008,0.0018,0.9984,0.9985,15,10,10,0.9146,0.0082,0.6903
gpu,augmented_kary,"AQ(2,8)",gcn,2,11321,0.9997,0.9995,0.9995,0.9995,0.0003,0.0010,0.9995,0.9995,40,5,10,0.9598,0.0076,0.6336
gpu,augmented_kary,"AQ(2,8)",graphsage,2,11321,0.9997,1.0000,0.9989,0.9995,0.0003,0.0004,0.9995,0.9995,45,1,5,0.9978,0.0011,0.6465
gpu,augmented_kary,"AQ(2,8)",gat,2,11321,0.9998,0.9995,1.0000,0.9997,0.0001,0.0009,1.0000,0.9997,60,10,15,0.9158,0.0083,0.7388
gpu,augmented_kary,"AQ(2,8)",gcn,3,12324,0.9992,0.9985,0.9989,0.9987,0.0005,0.0014,0.9995,0.9990,25,10,15,0.9784,0.0069,0.6396
gpu,augmented_kary,"AQ(2,8)",graphsage,3,12324,0.9994,0.9990,0.9989,0.9989,0.0004,0.0007,0.9995,0.9990,45,5,5,0.9916,0.0025,0.6752
gpu,augmented_kary,"AQ(2,8)",gat,3,12324,0.9992,0.9985,0.9989,0.9987,0.0005,0.0012,0.9995,0.9992,50,10,10,0.9720,0.0055,0.6518
